iter	Passed	Remaining
0	90	17935
1	174	17318
2	182	11958
3	271	13311
4	370	14434
5	462	14961
6	473	13060
7	569	13677
8	615	13055
9	678	12890
10	696	11972
11	697	10925
12	702	10109
13	706	9381
14	718	8864
15	723	8318
16	736	7923
17	804	8131
18	808	7705
19	877	7901
20	896	7639
21	950	7687
22	972	7484
23	985	7223
24	1098	7688
25	1123	7522
26	1196	7666
27	1204	7396
28	1214	7160
29	1243	7043
30	1245	6787
31	1329	6980
32	1402	7097
33	1520	7422
34	1555	7333
35	1660	7566
36	1662	7324
37	1663	7093
38	1668	6888
39	1670	6680
40	1695	6573
41	1701	6399
42	1789	6533
43	1790	6348
44	1845	6356
45	1863	6239
46	1864	6068
47	2060	6523
48	2061	6352
49	2141	6424
50	2158	6306
51	2245	6391
52	2266	6287
53	2279	6164
54	2302	6069
55	2396	6161
56	2499	6270
57	2505	6134
58	2507	5993
59	2519	5878
60	2538	5785
61	2560	5699
62	2572	5593
63	2575	5472
64	2576	5351
65	2577	5232
66	2658	5276
67	2682	5207
68	2683	5094
69	2705	5024
70	2772	5037
71	2773	4930
72	2797	4867
73	2815	4793
74	2833	4723
75	2846	4644
76	2858	4565
77	2862	4477
78	2869	4395
79	2871	4307
80	2953	4338
81	2953	4250
82	2965	4180
83	2984	4121
84	3065	4147
85	3067	4066
86	3072	3991
87	3079	3919
88	3088	3852
89	3168	3872
90	3175	3803
91	3217	3776
92	3260	3751
93	3274	3692
94	3278	3623
95	3290	3564
96	3410	3621
97	3492	3635
98	3511	3582
99	3521	3521
100	3588	3517
101	3650	3507
102	3669	3455
103	3702	3418
104	3710	3357
105	3726	3304
106	3761	3269
107	3792	3230
108	3796	3169
109	3833	3136
110	3837	3077
111	3912	3074
112	3976	3061
113	4045	3051
114	4054	2996
115	4058	2938
116	4073	2890
117	4155	2887
118	4192	2853
119	4257	2838
120	4259	2781
121	4260	2723
122	4268	2671
123	4271	2618
124	4278	2567
125	4351	2555
126	4475	2572
127	4566	2568
128	4585	2523
129	4592	2472
130	4640	2444
131	4717	2430
132	4747	2391
133	4749	2339
134	4757	2290
135	4844	2279
136	4857	2233
137	4942	2220
138	4957	2175
139	5046	2162
140	5121	2143
141	5205	2126
142	5292	2109
143	5297	2060
144	5387	2043
145	5464	2021
146	5469	1972
147	5560	1953
148	5629	1926
149	5645	1881
150	5664	1838
151	5724	1807
152	5778	1775
153	5886	1758
154	5946	1726
155	6020	1697
156	6092	1668
157	6173	1641
158	6259	1614
159	6327	1581
160	6366	1542
161	6448	1512
162	6460	1466
163	6503	1427
164	6506	1380
165	6570	1345
166	6642	1312
167	6719	1279
168	6793	1246
169	6864	1211
170	6937	1176
171	7016	1142
172	7087	1106
173	7127	1065
174	7201	1028
175	7267	990
176	7334	953
177	7371	911
178	7468	876
179	7485	831
180	7560	793
181	7567	748
182	7631	708
183	7638	664
184	7714	625
185	7790	586
186	7854	546
187	7920	505
188	7995	465
189	8055	423
190	8126	382
191	8192	341
192	8258	299
193	8337	257
194	8417	215
195	8494	173
196	8566	130
197	8625	87
198	8693	43
199	8751	0
