iter	RMSE
0	11.69056361
1	11.34230285
2	11.03106645
3	10.73154993
4	10.41105497
5	10.10015959
6	9.806766762
7	9.513972441
8	9.244664054
9	8.983633781
10	8.752935227
11	8.497505922
12	8.244510886
13	8.003297408
14	7.768835901
15	7.566968117
16	7.366081592
17	7.156889758
18	6.945097357
19	6.745797
20	6.565637544
21	6.370593573
22	6.181094997
23	6.008348594
24	5.846908463
25	5.673509506
26	5.519638703
27	5.356071426
28	5.198865065
29	5.044868872
30	4.895106572
31	4.750254272
32	4.609686284
33	4.48308491
34	4.354099049
35	4.227124658
36	4.102426971
37	3.984281827
38	3.868453196
39	3.755230398
40	3.644751528
41	3.546530518
42	3.443427212
43	3.344078987
44	3.246223564
45	3.151169747
46	3.060342091
47	2.971172149
48	2.892182714
49	2.811768344
50	2.732486792
51	2.653807237
52	2.577913072
53	2.504190517
54	2.432825213
55	2.362269581
56	2.294413576
57	2.231144411
58	2.168867559
59	2.106675868
60	2.047976081
61	1.993021918
62	1.937440306
63	1.887538548
64	1.834667889
65	1.785238625
66	1.736869531
67	1.688238421
68	1.64090128
69	1.596449664
70	1.552258745
71	1.509507692
72	1.467834065
73	1.431092505
74	1.397561545
75	1.363796452
76	1.331460414
77	1.295427208
78	1.263261607
79	1.230234082
80	1.197535244
81	1.165976993
82	1.137733622
83	1.107934999
84	1.081326114
85	1.054653331
86	1.029788577
87	1.004678286
88	0.9794039446
89	0.9563539973
90	0.9338284416
91	0.910987823
92	0.8890579158
93	0.8706364367
94	0.8501996566
95	0.83039324
96	0.8110686589
97	0.7930717555
98	0.7740571792
99	0.7576417573
100	0.7400989021
101	0.7239712262
102	0.7076528028
103	0.6944315458
104	0.6801499649
105	0.6655014538
106	0.6511485788
107	0.6384737791
108	0.6248092633
109	0.6121695322
110	0.6005114655
111	0.590088357
112	0.5805798681
113	0.5699984564
114	0.5591750947
115	0.549240521
116	0.5399310983
117	0.5314859648
118	0.5219444686
119	0.5135403163
120	0.5047253775
121	0.4974269916
122	0.4890093609
123	0.4813176691
124	0.4733908436
125	0.4663701088
126	0.4593335293
127	0.452879197
128	0.4462952916
129	0.4403474023
130	0.4339569023
131	0.4281630964
132	0.4230994158
133	0.4178488451
134	0.41228644
135	0.4066814694
136	0.401245542
137	0.3967010513
138	0.3916510725
139	0.3868751325
140	0.3828911003
141	0.3791868521
142	0.3749059564
143	0.3705503306
144	0.3663940363
145	0.3624033863
146	0.3578592447
147	0.3539267028
148	0.3505780838
149	0.3472274052
150	0.3439855675
151	0.340644677
152	0.3371101019
153	0.3335754585
154	0.3307173234
155	0.3273516504
156	0.3244721995
157	0.3214308014
158	0.3187352108
159	0.3160757927
160	0.3138110428
161	0.3118223451
162	0.3093631883
163	0.3065996545
164	0.30414174
165	0.3019410284
166	0.2992128451
167	0.2970646665
168	0.2947603517
169	0.2927107163
170	0.2903082225
171	0.2884463896
172	0.286123532
173	0.2841441008
174	0.2820872562
175	0.2802351072
176	0.2780048191
177	0.2759328295
178	0.2740239272
179	0.2724163006
180	0.2706872257
181	0.2690900554
182	0.2676197232
183	0.2658337496
184	0.2643362327
185	0.2620997241
186	0.2600992598
187	0.2583176836
188	0.2568210802
189	0.2549939272
190	0.2534006151
191	0.2516855902
192	0.2502721818
193	0.2488083185
194	0.2474257071
195	0.2458140879
196	0.2444220707
197	0.2429387967
198	0.2415748539
199	0.2397507078
