iter	RMSE
0	0.3910503507
1	0.3830547862
2	0.3753628762
3	0.3681507174
4	0.3611433851
5	0.3543107056
6	0.3474367368
7	0.3405533262
8	0.3339150382
9	0.3275390168
10	0.321239859
11	0.31525365
12	0.3092977787
13	0.3039008983
14	0.2985663091
15	0.2936088739
16	0.2887393211
17	0.2839761008
18	0.2792723901
19	0.2748997707
20	0.2704139445
21	0.2662012085
22	0.261858585
23	0.2575772458
24	0.2534649077
25	0.2499688803
26	0.2462804105
27	0.2426830622
28	0.2393102004
29	0.2357968699
30	0.2322819341
31	0.2293834666
32	0.2263708605
33	0.223512382
34	0.2207667551
35	0.2178249024
36	0.2147545416
37	0.2123189589
38	0.2094722919
39	0.2069264609
40	0.2047075558
41	0.2024221377
42	0.199912189
43	0.1978108047
44	0.1957454129
45	0.1938042822
46	0.1918067077
47	0.1898865106
48	0.1880815604
49	0.1861089721
50	0.1842145421
51	0.1824800054
52	0.1806632843
53	0.1787930993
54	0.1771194651
55	0.1757911811
56	0.1742177695
57	0.1728435653
58	0.1713314576
59	0.1698236064
60	0.1683858345
61	0.1670472172
62	0.1657294083
63	0.1645798868
64	0.1636072126
65	0.162599055
66	0.1614101651
67	0.1604742481
68	0.1593831426
69	0.1584241187
70	0.1573046779
71	0.1564261181
72	0.155495047
73	0.1546797518
74	0.1539867547
75	0.1529668145
76	0.1519648708
77	0.1510824825
78	0.1502417402
79	0.1494455924
80	0.1485208199
81	0.1476195916
82	0.1466759596
83	0.1457137375
84	0.1447183419
85	0.1439160964
86	0.1430327621
87	0.1422044024
88	0.141258415
89	0.1406522599
90	0.1400461811
91	0.1393467226
92	0.138533733
93	0.1379837997
94	0.1374608424
95	0.1368933393
96	0.136209393
97	0.1356694753
98	0.1350648569
99	0.1346967507
100	0.1341369278
101	0.1335751781
102	0.1330235647
103	0.132634956
104	0.1321291495
105	0.131669289
106	0.1314055124
107	0.1310095988
108	0.1306460346
109	0.1300968955
110	0.1296848953
111	0.1293291307
112	0.1289521763
113	0.1286586714
114	0.1283233853
115	0.1279557281
116	0.1276186523
117	0.1271485879
118	0.1268120342
119	0.1266266613
120	0.1262772929
121	0.1259438016
122	0.1256093349
123	0.1253378881
124	0.124976321
125	0.1247380373
126	0.1244752004
127	0.1240989012
128	0.1239299181
129	0.1236448427
130	0.1234225481
131	0.1231753951
132	0.1229899975
133	0.1228011647
134	0.1225369751
135	0.1222537891
136	0.1220866932
137	0.1218340623
138	0.1214615658
139	0.1212099463
140	0.1208607753
141	0.1207080445
142	0.1204196338
143	0.1201899881
144	0.1199063193
145	0.1196360351
146	0.119276464
147	0.1190516723
148	0.1188290547
149	0.1186089971
150	0.1184453741
151	0.1181014553
152	0.1180042282
153	0.1177971666
154	0.1175236457
155	0.1172093574
156	0.1170358659
157	0.1167738328
158	0.1165831562
159	0.1164985663
160	0.116241023
161	0.1160750427
162	0.1158636962
163	0.1156871856
164	0.1154909468
165	0.115319514
166	0.1151590021
167	0.1149502125
168	0.1147116297
169	0.1145360852
170	0.1143596378
171	0.1142061382
172	0.1141559444
173	0.1140095764
174	0.1139104492
175	0.1137892612
176	0.1136153554
177	0.1134417126
178	0.1132038322
179	0.1131203832
180	0.1129043334
181	0.1127315532
182	0.1126544476
183	0.1124881885
184	0.1123407171
185	0.1122382711
186	0.1120926659
187	0.1119090202
188	0.1117770877
189	0.1115997491
190	0.1114455658
191	0.11128363
192	0.1110900533
193	0.1109591139
194	0.1107930071
195	0.1106856311
196	0.1106013142
197	0.1104160984
198	0.1103193703
199	0.1102325941
200	0.1101628156
201	0.1100988335
202	0.10990696
203	0.1098632667
204	0.1096720279
205	0.1096047834
206	0.1095248995
207	0.1094276088
208	0.1092888
209	0.1091897912
210	0.10907253
211	0.108942187
212	0.1088828576
213	0.1087616892
214	0.1086125595
215	0.1085759918
216	0.108419233
217	0.108317314
218	0.108267342
219	0.1081785546
220	0.1080460076
221	0.1079840168
222	0.1078888892
223	0.1077396999
224	0.1076792294
225	0.1076206246
226	0.1075346865
227	0.1074459487
228	0.1073830034
229	0.1072665414
230	0.1072014438
231	0.1071383992
232	0.1069747995
233	0.1067798053
234	0.1067054246
235	0.1066885858
236	0.1066528573
237	0.1065407342
238	0.1064464737
239	0.1064065166
240	0.1063188704
241	0.1062816221
242	0.1061701603
243	0.1060664173
244	0.1060193011
245	0.1059515196
246	0.1058900377
247	0.1058094652
248	0.1057751535
249	0.1056827489
250	0.1056269058
251	0.1054614488
252	0.1053445937
253	0.1051583003
254	0.1050364515
255	0.1048822196
256	0.104730553
257	0.1046734523
258	0.1045854041
259	0.1045301092
260	0.1044261539
261	0.104411704
262	0.1043487313
263	0.1042768163
264	0.1042062329
265	0.1040932201
266	0.1040045667
267	0.1039724051
268	0.1039257463
269	0.1037932608
270	0.103716054
271	0.1036614716
272	0.103567672
273	0.1034836727
274	0.1034184937
275	0.1033569131
276	0.1032840246
277	0.103175237
278	0.1031176858
279	0.1030855367
280	0.1030125294
281	0.1029393816
