iter	Passed	Remaining
0	15	3030
1	31	3119
2	54	3567
3	75	3692
4	97	3786
5	119	3874
6	144	3975
7	169	4063
8	178	3787
9	200	3801
10	222	3828
11	244	3837
12	270	3892
13	292	3887
14	311	3846
15	336	3864
16	352	3799
17	360	3640
18	386	3682
19	405	3653
20	427	3645
21	452	3660
22	472	3639
23	497	3645
24	518	3628
25	545	3651
26	573	3674
27	602	3699
28	635	3748
29	670	3798
30	700	3819
31	724	3804
32	752	3809
33	783	3825
34	816	3847
35	846	3857
36	870	3834
37	903	3852
38	932	3849
39	982	3930
40	1015	3938
41	1026	3860
42	1051	3838
43	1081	3834
44	1113	3835
45	1141	3821
46	1167	3801
47	1195	3786
48	1222	3766
49	1248	3744
50	1271	3715
51	1323	3766
52	1352	3751
53	1374	3717
54	1401	3694
55	1436	3693
56	1466	3680
57	1499	3672
58	1529	3655
59	1560	3640
60	1585	3613
61	1617	3600
62	1642	3572
63	1678	3567
64	1687	3504
65	1706	3464
66	1727	3429
67	1757	3412
68	1782	3384
69	1807	3356
70	1833	3330
71	1857	3301
72	1885	3280
73	1911	3255
74	1932	3220
75	1958	3195
76	1985	3171
77	2000	3128
78	2022	3097
79	2030	3045
80	2053	3017
81	2083	2998
82	2111	2976
83	2138	2953
84	2168	2933
85	2219	2942
86	2251	2924
87	2268	2887
88	2300	2868
89	2328	2846
90	2359	2826
91	2367	2779
92	2395	2755
93	2420	2729
94	2454	2712
95	2476	2683
96	2501	2656
97	2527	2630
98	2559	2611
99	2585	2585
100	2611	2559
101	2633	2530
102	2645	2491
103	2667	2462
104	2698	2441
105	2724	2415
106	2749	2390
107	2776	2365
108	2803	2340
109	2828	2314
110	2850	2285
111	2874	2258
112	2894	2228
113	2917	2200
114	2943	2175
115	2967	2148
116	2995	2124
117	3025	2102
118	3046	2073
119	3068	2045
120	3108	2029
121	3130	2001
122	3152	1973
123	3175	1946
124	3197	1918
125	3227	1895
126	3249	1868
127	3273	1841
128	3300	1816
129	3329	1793
130	3355	1767
131	3371	1737
132	3391	1708
133	3420	1684
134	3425	1649
135	3449	1623
136	3482	1601
137	3508	1576
138	3533	1550
139	3563	1527
140	3591	1502
141	3618	1477
142	3643	1452
143	3648	1418
144	3675	1394
145	3697	1367
146	3722	1342
147	3751	1317
148	3775	1292
149	3799	1266
150	3825	1241
151	3851	1216
152	3875	1190
153	3901	1165
154	3922	1138
155	3951	1114
156	3976	1089
157	4007	1065
158	4033	1040
159	4055	1013
160	4081	988
161	4104	962
162	4127	937
163	4149	910
164	4173	885
165	4198	859
166	4228	835
167	4261	811
168	4287	786
169	4312	761
170	4337	735
171	4358	709
172	4384	684
173	4407	658
174	4434	633
175	4463	608
176	4497	584
177	4521	558
178	4549	533
179	4581	509
180	4608	483
181	4615	456
182	4637	430
183	4663	405
184	4687	380
185	4709	354
186	4733	329
187	4756	303
188	4781	278
189	4806	252
190	4832	227
191	4858	202
192	4887	177
193	4918	152
194	4944	126
195	4967	101
196	4991	76
197	5017	50
198	5043	25
199	5067	0
