iter	RMSE
0	0.3965459855
1	0.3884081113
2	0.3814228424
3	0.3745285002
4	0.3674742638
5	0.3611329628
6	0.3543829124
7	0.3481338993
8	0.342340498
9	0.3365842191
10	0.3301902582
11	0.3240571087
12	0.318671037
13	0.3130841564
14	0.3074091701
15	0.3020953613
16	0.296828805
17	0.2916366299
18	0.2871282941
19	0.282683934
20	0.2784380387
21	0.2737240812
22	0.2694049188
23	0.2655346174
24	0.2615196918
25	0.2572888882
26	0.2531130147
27	0.2494098499
28	0.2458201697
29	0.2421916944
30	0.2387612611
31	0.2355904755
32	0.2321385067
33	0.2286626504
34	0.2254908249
35	0.222635801
36	0.2199388017
37	0.2171116883
38	0.2142025898
39	0.2114722488
40	0.2087625219
41	0.2063427555
42	0.203596102
43	0.2010779064
44	0.1987432262
45	0.1964242455
46	0.1942783742
47	0.1920271825
48	0.1899188651
49	0.1878447203
50	0.1857732363
51	0.183573183
52	0.1815391146
53	0.1796927462
54	0.1777648245
55	0.1758782951
56	0.173941146
57	0.1720919555
58	0.1702740249
59	0.1686933741
60	0.1669924614
61	0.1652715043
62	0.1636652927
63	0.1619746375
64	0.1605490941
65	0.1589840004
66	0.1573930076
67	0.1561482835
68	0.1549208096
69	0.1534510672
70	0.1522626545
71	0.1510580145
72	0.1499197708
73	0.1487768429
74	0.1477534697
75	0.1465980205
76	0.1455713174
77	0.144471679
78	0.1432245668
79	0.1422448569
80	0.1413419237
81	0.1402365048
82	0.1393282796
83	0.1384174679
84	0.1375352251
85	0.1367185678
86	0.1357969138
87	0.1349349914
88	0.1341017783
89	0.1332596795
90	0.1323869357
91	0.1316120836
92	0.1309457314
93	0.1301428144
94	0.1293366724
95	0.1285639164
96	0.1279548728
97	0.1272568004
98	0.1267039263
99	0.1260510427
100	0.125468549
101	0.1247930383
102	0.1242118123
103	0.1235089402
104	0.122938286
105	0.1223702353
106	0.1216695972
107	0.1210819224
108	0.1204751309
109	0.1199055263
110	0.1193268709
111	0.1187743687
112	0.118212059
113	0.1176902334
114	0.1171856009
115	0.1167675968
116	0.1163749552
117	0.1158629371
118	0.1154121994
119	0.114953277
120	0.1144525965
121	0.1140654615
122	0.1137378986
123	0.1132892566
124	0.1129056809
125	0.1125117805
126	0.112102785
127	0.1117588133
128	0.1113438678
129	0.1108944339
130	0.1104778524
131	0.1101065676
132	0.1097757793
133	0.1093180233
134	0.1089804622
135	0.1086381373
136	0.1082431419
137	0.1079374024
138	0.1076475269
139	0.1073076107
140	0.1069722472
141	0.1066403318
142	0.1063826095
143	0.1060829332
144	0.1058030475
145	0.1054448979
146	0.1051147462
147	0.1048026037
148	0.104527416
149	0.1042452976
150	0.103968052
151	0.1037010021
152	0.103495768
153	0.1033046741
154	0.1029692925
155	0.1027506138
156	0.1024476873
157	0.1022553188
158	0.1020049284
159	0.1017876331
160	0.1016831512
161	0.10150572
162	0.1012556516
163	0.10103934
164	0.1007798693
165	0.1005825911
166	0.1003823673
167	0.1001765727
168	0.09998633461
169	0.09980588317
170	0.09962493081
171	0.09941101585
172	0.09926207274
173	0.09912906199
174	0.09892675683
175	0.09868522509
176	0.09858743846
177	0.09839854101
178	0.09820278494
179	0.09805076009
180	0.09785918863
181	0.09764961115
182	0.09739876315
183	0.09714424675
184	0.09689181835
185	0.09671553732
186	0.09653106852
187	0.09640030619
188	0.09620246261
189	0.09599548394
190	0.0958031722
191	0.09560817688
192	0.09535746656
193	0.0952166392
194	0.09507972105
195	0.0949333004
196	0.09468496436
197	0.09456262709
198	0.09438874355
199	0.09423012332
