iter	RMSE
0	0.3937620759
1	0.3862821925
2	0.3786809579
3	0.3711662538
4	0.3640374447
5	0.3573382619
6	0.3514592512
7	0.3450926969
8	0.3391927977
9	0.3335119938
10	0.3280110775
11	0.3221439923
12	0.3165758373
13	0.3114003301
14	0.3060987781
15	0.3011135777
16	0.2959721946
17	0.2911153835
18	0.2860935641
19	0.2815364425
20	0.2769111315
21	0.2724816396
22	0.2684171924
23	0.2645415292
24	0.2606978821
25	0.2568627747
26	0.2533406452
27	0.2493676552
28	0.2454983959
29	0.2418109239
30	0.238699429
31	0.236034909
32	0.2333815083
33	0.230366807
34	0.2273362519
35	0.2244263344
36	0.2216995322
37	0.2189702273
38	0.2164340564
39	0.2139852479
40	0.2115973287
41	0.209044663
42	0.2065635331
43	0.2043856525
44	0.2022772775
45	0.2002868038
46	0.1983969114
47	0.1962461683
48	0.1942842452
49	0.1922300132
50	0.1904877899
51	0.1890232022
52	0.1872026943
53	0.1854705683
54	0.184083989
55	0.182471632
56	0.180809325
57	0.1791525498
58	0.1778954763
59	0.1764850563
60	0.1751713124
61	0.1738812127
62	0.1725689544
63	0.1710857218
64	0.1698671329
65	0.1685524492
66	0.167285988
67	0.1662882933
68	0.1651064069
69	0.1640520589
70	0.1629358852
71	0.1616191349
72	0.1606348321
73	0.1596982732
74	0.1587890784
75	0.1577646976
76	0.1567132021
77	0.1556882656
78	0.1550242131
79	0.1542656101
80	0.1533978517
81	0.1523897479
82	0.1513961152
83	0.1506159077
84	0.1497540236
85	0.1490606732
86	0.1482892713
87	0.1475718905
88	0.1468041333
89	0.1461234495
90	0.1454336955
91	0.1447998901
92	0.1440466361
93	0.1429435027
94	0.1420312531
95	0.1414254531
96	0.140607642
97	0.1401099292
98	0.1395853563
99	0.1388296183
100	0.1380796251
101	0.1373578349
102	0.1366938112
103	0.1360572084
104	0.135641085
105	0.1349886985
106	0.1344810985
107	0.1338413159
108	0.1333167912
109	0.132701719
110	0.1321127777
111	0.1316816709
112	0.1312833376
113	0.1308888754
114	0.1302848503
115	0.1300093315
116	0.1295577831
117	0.1290923462
118	0.1286675912
119	0.1282846818
120	0.1279320802
121	0.1275517406
122	0.1270263584
123	0.1266849834
124	0.1262121188
125	0.1257685044
126	0.1252344245
127	0.1249835111
128	0.1246538975
129	0.124333622
130	0.1240013797
131	0.1237200214
132	0.1233709169
133	0.1229745955
134	0.1225008016
135	0.1222430883
136	0.1218991967
137	0.1217150364
138	0.121385208
139	0.1210712597
140	0.1208409938
141	0.1204815946
142	0.1202730905
143	0.1200988164
144	0.1197772244
145	0.1194798195
146	0.1192246017
147	0.1189704922
148	0.118854152
149	0.1185628666
150	0.1182268454
151	0.1179747858
152	0.1177366955
153	0.1175837532
154	0.1171844855
155	0.1170567503
156	0.1168892475
157	0.1166661654
158	0.1164583579
159	0.1162349086
160	0.1159124437
161	0.1156432953
162	0.1154516307
163	0.1151601408
164	0.1149777181
165	0.1147202727
166	0.1145645038
167	0.1143737722
168	0.1142180617
169	0.114033239
170	0.1138577276
171	0.1137247774
172	0.1135590849
173	0.1134730725
174	0.1132224076
175	0.1130182651
176	0.1128265624
177	0.1126985565
178	0.1124804829
179	0.1123456302
180	0.1122067395
181	0.1120584825
182	0.1119171668
183	0.1118087971
184	0.1116606141
185	0.1115028884
186	0.1113395953
