iter	Passed	Remaining
0	2	565
1	19	1924
2	36	2407
3	59	2897
4	81	3177
5	102	3300
6	121	3348
7	142	3424
8	166	3524
9	186	3541
10	206	3545
11	219	3437
12	236	3405
13	255	3391
14	268	3305
15	287	3300
16	305	3289
17	325	3288
18	346	3299
19	366	3300
20	386	3294
21	406	3291
22	426	3279
23	433	3179
24	438	3066
25	456	3053
26	477	3057
27	500	3071
28	508	2996
29	532	3017
30	554	3020
31	578	3036
32	601	3042
33	620	3029
34	643	3033
35	664	3027
36	684	3017
37	707	3016
38	730	3017
39	738	2955
40	759	2944
41	785	2954
42	805	2940
43	828	2939
44	852	2934
45	871	2917
46	894	2910
47	917	2903
48	938	2893
49	963	2891
50	984	2874
51	1005	2861
52	1029	2856
53	1052	2844
54	1074	2832
55	1094	2815
56	1117	2802
57	1138	2787
58	1160	2772
59	1180	2755
60	1203	2742
61	1227	2731
62	1245	2709
63	1266	2691
64	1287	2673
65	1309	2659
66	1332	2645
67	1353	2627
68	1372	2605
69	1397	2595
70	1433	2604
71	1455	2587
72	1477	2570
73	1499	2553
74	1539	2565
75	1562	2549
76	1582	2527
77	1601	2505
78	1625	2489
79	1648	2473
80	1669	2452
81	1687	2428
82	1711	2412
83	1732	2392
84	1743	2359
85	1764	2339
86	1786	2319
87	1809	2303
88	1831	2284
89	1836	2245
90	1858	2226
91	1883	2211
92	1909	2197
93	1933	2180
94	1944	2149
95	1969	2133
96	1995	2118
97	2024	2107
98	2036	2077
99	2073	2073
100	2098	2056
101	2130	2047
102	2171	2045
103	2198	2028
104	2209	1998
105	2240	1986
106	2275	1978
107	2305	1964
108	2326	1942
109	2356	1928
110	2378	1907
111	2400	1886
112	2420	1863
113	2442	1842
114	2463	1820
115	2486	1800
116	2511	1781
117	2532	1760
118	2555	1739
119	2580	1720
120	2607	1702
121	2630	1681
122	2659	1664
123	2690	1648
124	2726	1635
125	2757	1619
126	2790	1603
127	2816	1584
128	2854	1571
129	2878	1549
130	2893	1523
131	2921	1504
132	2943	1482
133	2973	1464
134	3004	1446
135	3025	1423
136	3056	1405
137	3080	1384
138	3106	1363
139	3135	1343
140	3161	1322
141	3187	1301
142	3209	1279
143	3238	1259
144	3261	1237
145	3271	1209
146	3292	1187
147	3313	1164
148	3334	1141
149	3356	1118
150	3404	1104
151	3430	1083
152	3451	1060
153	3478	1039
154	3500	1016
155	3524	994
156	3551	972
157	3572	949
158	3595	927
159	3631	907
160	3662	887
161	3685	864
162	3715	843
163	3738	820
164	3768	799
165	3795	777
166	3814	753
167	3832	729
168	3851	706
169	3872	683
170	3896	660
171	3920	638
172	3942	615
173	3965	592
174	3991	570
175	4019	548
176	4045	525
177	4073	503
178	4097	480
179	4120	457
180	4144	435
181	4168	412
182	4193	389
183	4213	366
184	4235	343
185	4262	320
186	4291	298
187	4315	275
188	4342	252
189	4365	229
190	4392	206
191	4417	184
192	4441	161
193	4465	138
194	4491	115
195	4511	92
196	4533	69
197	4564	46
198	4591	23
199	4614	0
