iter	Passed	Remaining
0	1	11122
1	3	11498
2	5	11878
3	8	12906
4	10	12216
5	11	11575
6	13	11244
7	14	11049
8	16	10825
9	18	10882
10	19	10825
11	21	10669
12	23	10696
13	24	10650
14	26	10653
15	28	10640
16	30	10591
17	31	10492
18	33	10437
19	34	10316
20	35	10246
21	37	10250
22	39	10166
23	40	10112
24	42	10052
25	43	9982
26	44	9921
27	46	9906
28	47	9831
29	49	9787
30	50	9714
31	51	9636
32	52	9564
33	54	9487
34	55	9437
35	56	9359
36	57	9308
37	58	9246
38	60	9184
39	61	9112
40	62	9053
41	63	8995
42	64	8954
43	65	8913
44	67	8875
45	68	8837
46	69	8797
47	70	8751
48	71	8714
49	72	8662
50	73	8623
51	74	8572
52	76	8593
53	77	8535
54	78	8503
55	79	8456
56	80	8401
57	81	8372
58	82	8338
59	84	8319
60	85	8280
61	86	8258
62	87	8229
63	88	8213
64	89	8188
65	90	8178
66	92	8158
67	93	8144
68	94	8125
69	95	8108
70	96	8097
71	98	8076
72	99	8058
73	100	8034
74	101	8020
75	102	8024
76	104	8023
77	105	8009
78	106	7998
79	107	7982
80	109	7985
81	110	7968
82	112	8002
83	113	7999
84	114	7994
85	116	7982
86	117	7966
87	118	7967
88	119	7954
89	120	7929
90	122	7926
91	123	7913
92	124	7894
93	125	7882
94	126	7868
95	127	7867
96	129	7857
97	130	7848
98	131	7834
99	132	7832
100	133	7811
101	135	7811
102	136	7807
103	137	7793
104	138	7782
105	139	7768
106	140	7753
107	142	7748
108	143	7733
109	144	7724
110	145	7707
111	146	7698
112	147	7682
113	148	7676
114	150	7689
115	151	7686
116	152	7681
117	153	7672
118	155	7664
119	156	7650
120	157	7635
121	158	7625
122	159	7615
123	160	7599
124	161	7589
125	162	7581
126	163	7577
127	165	7573
128	166	7564
129	167	7559
130	168	7556
131	169	7547
132	171	7544
133	172	7540
134	173	7533
135	174	7524
136	175	7529
137	177	7518
138	178	7509
139	179	7504
140	180	7506
141	181	7495
142	182	7482
143	183	7474
144	184	7470
145	185	7456
146	187	7453
147	188	7447
148	189	7439
149	191	7457
150	192	7449
151	193	7441
152	194	7441
153	195	7439
154	197	7433
155	198	7430
156	199	7422
157	200	7425
158	201	7416
159	203	7414
160	204	7409
